Hunhullus	speaks	Hayiin do-hok!
Operator	speaks	(laughs)
Adis	speaks	Mo hu-da, Ten-no. I win. You let?
Operator	speaks	Let's call it even.
Adis	speaks	Call it - peace offer!
Operator	speaks	(gulping water, resurfacing)
Loid	speaks	Enough!
Lotus	speaks	What did you see?
Operator	speaks	Tau.
Loid	speaks	How?
Lotus	speaks	But not enough.
Loid	speaks	'Not enough'?
Lotus	speaks	This is the only way we find -
Loid	speaks	Flooding their head with polluted histories? I won't - Come, Tenno. Let's get you dry.
Operator	speaks	It's okay, Loid. have to... I want to.
Loid	speaks	Some things are best forgotten.
Operator	speaks	I had a friend, Loid. Like me. His name was... was... Adis.
Operator	speaks	Again.
Operator	speaks	(gasping)
Adis	speaks	How late the we?
Operator	speaks	Relax. We've got this.
Ballas	speaks	We swore to carry the sacred light of our dominion into the deepest dark, and this we have done! Swear now to defend this holy treaty alongside our blessed and brave creations: the Sentients of Tau.
Operator	speaks	Can you believe we used to be at war?
Adis	speaks	Not joke, Tenno.
Operator	speaks	It's just... insane. When all the time it could have been like this.
Grineer Announcer	speaks	Guve me someklung to shoot. Ron't det garr guigrr rorn." - "Give me something to shoot. Don't let your guard down.
Grineer Announcer	speaks	Tray sharg, Hu rear someklung." - "Stay sharp, I hear something.
Grineer Announcer	speaks	Guve me someklung to shoot." - "Give me something to shoot.
Grineer Announcer	speaks	Kekome an Exhumus. Ron't det garr guigrr rorn." - "Become an Eximus. Don't let your guard down.
Adis	speaks	What your parents say, if they here?
Operator	speaks	Oh, they'd invite you to dinner, then panic over what to feed you.
Operator	speaks	Did they ever tell you what happened to your ancestors?
Adis	speaks	Making up the great Rail, was the telling. First you serve as labor. Then you serve as parts.
Operator	speaks	I've been working on some new moves. Gonna let me try them out on you?
Adis	speaks	First we find new fighting place! We get caught, Grineer think war-times come again!
Operator	speaks	Anything you want to go over before Itzam grills you?
Adis	speaks	Adis... maybe forgot Naramon principles section 8?
Operator	speaks	Again? Okay, don't sweat it. I've got your back.
Margulis	speaks	I trust Itzam over the Orokin. Have him report to me daily.
Daklo	speaks	Disgusting, isn't it? Orokin gold - wasted! I wonder... which of you would this aberration attack first?
Adis	speaks	Stupid.
Daklo	speaks	Watch your mouth, void-lugger.
Archimedean Itzam	speaks	Ah, please, please, with me. The place for conflict is in the dojo.
Archimedean Itzam	speaks	Adis Truth-Bloom, have you adapted to the Tenno Ways?
Archimedean Itzam	speaks	When the applications of Tauron are applied to Naramon's theories, what is the expected outcome?
Operator	speaks	A new Somatic connection.
Adis	speaks	Uh, a Somatic connection new, power increase many?
Archimedean Itzam	speaks	No cheating! If you are tested by the Seven, we must show your evolution to their ways.
Operator	speaks	A regression in stability.
Adis	speaks	Stability regress? Great badness?
Operator	speaks	It's a trick question.
Adis	speaks	Cannot be done! You are tricking.
Archimedean Itzam	speaks	No cheating! Especially when the answer is grievously incorrect! Would you embarrass us so before the Seven?
Operator	speaks	So... the Seven are coming?
Archimedean Itzam	speaks	The treaty is not as finished as we would wish. The conditions laid upen our stewardship -
Apex Stentor	speaks	Anarch strike is underway! Tauron students, to deployment!
Operator	speaks	Let's go, 'truth-bloom!'
Adis	speaks	Adis did not choose name!
Assignator Korffel	speaks	Well, praise the Void. You two managed to show up on time. Boro Overlook. Go. Now.
Valdur	speaks	We're pinned down, Tenno. Can you give us a miracle?
Operator	speaks	Shut up!
Dax Anarch Lustratus	speaks	Back! Fall back!
Prime Grineer	speaks	Tenno on sight.
Prime Grineer	speaks	Stand tall.
Prime Grineer	speaks	For the Orokin.
Prime Grineer	speaks	Tenno... savior.
Adis	speaks	Cast and cry, cast and cry" | "Raise the million pylons high" | "All our kin are bound to fly" | "For that far shore forlorn
Conculyst Zin-Osku	speaks	Truth-Bloom!
Valdur	speaks	COVERRRR!
Adis	speaks	Ten-no!
Operator	speaks	I see them.
Valdur	speaks	That was the old Makvos cannon. Can you take it out?
Adis	speaks	Trust the we.
Operator	speaks	Go charge up, Adis. I've got your back.
Adis	speaks	You are authentic friend, Tenno.
Valdur	speaks	'Xenoflora'. Flowers. The only real alien life we've ever found, and the Sents scarf them down like kubrow chow! Just as well for us they did, eh, Tenno? Suddenly they've all got minds of their own, so no more hivemind, so no more war.
Operator	speaks	Ready?
Adis	speaks	Tau fills me.
Valdur	speaks	Take out that gun, Tenno. We're getting pounded!
Anarch Galastra	speaks	Tantivy, ha! What say you all? Shall we enlighten this Tenno?
Anarchs	speaks	Tantivy! Tantivy!
Operator	speaks	The shields, Adis!
Adis	speaks	I got it!
Adis	speaks	Yarata! Now, Tenno!
Valdur	speaks	Good work. This treaty's going to live, Galastra, and you don't get to tear it up. Dropships inbound!
Anarch Galastra	speaks	Valdur. My old pet. Better count your flock again, dog, and keep your ships on the ground. Else I'll be set to carving your lost lamb.
Sentient	speaks	Help me Adis!
Adis	speaks	Hurry, Tenno!
Adis	speaks	Bad place. Golden-cursed. Long-ago precepting.
Anarch Galastra	speaks	No history taught in those Tenno schools? Peace cannot abide the machines.
Operator	speaks	You're the only ones keeping this war alive.
Anarch Galastra	speaks	Let me show you why.
Adis	speaks	But... the blooms make us more than machine! Why does she hate?
Anarch Galastra	speaks	A place to breathe.
Sentient	speaks	Adis!
Anarch Galastra	speaks	The promise of a home. So lightly surrendered.
Sentient	speaks	Truth-Bloom!
Adis	speaks	Coming, hive-kin!
Adis	speaks	Let him go!
Anarch Galastra	speaks	Of course! When he's good and ready, child. Sentient TQ-776VL! Repel intruders! So desperate for orders without your xenoflora.
